nake_name,version,no_valid_file,model_i0_index,model_i1_index,model_i2_index,model_i3_index,model_i4_index,model_i5_index,model_i6_index,model_i7_index,model_i8_index,model_i9_index,model_i10_index,model_i11_index,model_i12_index,Seq_Length,length
AnnualReport-10K/Filing Date - 2005-Feb-23 - UNMG.PK^D19 - Unimark Group Inc - 10-K - — - 05633761.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2005-Jan-28 - COWP.PK - Canal Capital Corp - 10-K - — - 05557388.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2005-Sep-23 - PFACP.OQ^C10 - Pro-Fac Cooperative Inc - 10-K - — - 051100195.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2005-Mar-23 - HORTQ.PK^D09 - Hines Horticulture Inc - 10-K - — - 05699763.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2004-Sep-23 - PFACP.OQ^C10 - Pro-Fac Cooperative Inc - 10-K - — - 041042685.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2006-Jan-25 - COWP.PK - Canal Capital Corp - 10-K - — - 06549422.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2006-Mar-28 - HORTQ.PK^D09 - Hines Horticulture Inc - 10-K - — - 06715560.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2006-Sep-20 - PFACP.OQ^C10 - Pro-Fac Cooperative Inc - 10-K - — - 061099944.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2007-Jan-24 - COWP.PK - Canal Capital Corp - 10-K - — - 07548155.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2004-Mar-30 - CHFR.PK^D19 - China Fruits Corp - 10-K - — - 04699734.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2004-Mar-30 - HORTQ.PK^D09 - Hines Horticulture Inc - 10-K - — - 04701182.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2004-Mar-30 - MRGO.PK - Margo Caribe Inc - 10-K - — - 04699512.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Sep-26 - PFACP.OQ^C10 - Pro-Fac Cooperative Inc - 10-K - — - 03912940.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2004-Jan-29 - COWP.PK - Canal Capital Corp - 10-K - — - 04550678.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-May-16 - CHCL.PK^K06 - China Continental Inc - 10-K - — - 03708865.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Mar-27 - — - Purina Mills LLC - 10-K - — - 03621654.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Mar-31 - CQB.N^A15 - Chiquita Brands Internati... - 10-K - — - 03627301.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Nov-19 - ALCO.OQ - Alico Inc - 10-K - — - 031012636.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Mar-31 - MRGO.PK - Margo Caribe Inc - 10-K - — - 03629624.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Jan-29 - COWP.PK - Canal Capital Corp - 10-K - — - 03528993.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Aug-12 - UNMG.PK^D19 - Unimark Group Inc - 10-K - — - 03837146.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Jun-26 - STW.N^E05 - Standard Commercial Corp - 10-K - — - 03758161.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2003-Aug-12 - CALM.OQ - Cal-Maine Foods Inc - 10-K - — - 03836412.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Mar-31 - CNOA.PK^E13 - China Organic Agriculture... - 10-K - — - 08725857.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2009-Apr-15 - CNOA.PK^E13 - China Organic Agriculture... - 10-K - — - 09751396.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904622.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904626.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904613.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904630.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904617.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jan-30 - COWP.PK - Canal Capital Corp - 10-K - — - 08559706.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Oct-22 - URBF.PK - Urban Barns Foods Inc - 10-K - — - 081135226.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904639.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904714.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2008-Jun-18 - PABL.PK^J17 - Parabel Inc - 10-K - — - 08904682.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2011-Apr-15 - TBBC.PK^D16 - Brainy Brands Company Inc - 10-K - — - 11763882.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2010-Mar-30 - VIFL.OQ^C14 - Food Technology Service I... - 10-K - — - 10712488.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2009-Mar-30 - VIFL.OQ^C14 - Food Technology Service I... - 10-K - — - 09713555.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2009-Jun-04 - FLAF.PK - Farm Lands of Africa Inc - 10-K - — - 09874358.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2009-Nov-13 - URBF.PK - Urban Barns Foods Inc - 10-K - — - 091181963.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2009-Nov-12 - GGBL.PK - Guar Global Ltd - 10-K - — - 091175375.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
AnnualReport-10K/Filing Date - 2009-Jan-28 - COWP.PK - Canal Capital Corp - 10-K - — - 09550094.pdf,0.1.1,true,,,,,,,,,,,,,,60,0
