,0,1,2,3
0,Alico Inc,06-Dec-2023,30-Sep-2023,ALCO.OQ
1,Agrify Corp,28-Nov-2023,31-Dec-2022,AGFY.OQ
2,Organic Agricultural Co Ltd,17-Nov-2023,31-Mar-2023,OGAA.PK
3,CHS Inc,08-Nov-2023,31-Aug-2023,CHSCP.OQ
4,S&W Seed Co,27-Sep-2023,30-Jun-2023,SANW.OQ
5,Cal-Maine Foods Inc,25-Jul-2023,03-Jun-2023,CALM.OQ
6,NaturalShrimp Inc,27-Jun-2023,31-Mar-2023,SHMP.PK
7,MJ Holdings Inc,05-May-2023,31-Dec-2022,MJNE.PK
8,Local Bounti Corp,31-Mar-2023,31-Dec-2022,LOCL.N
9,Sativus Tech Corp,31-Mar-2023,31-Dec-2022,SATT.PK
10,urban-gro Inc,30-Mar-2023,31-Dec-2022,UGRO.OQ
11,Genvor Inc,28-Mar-2023,30-Sep-2022,GNVR.PK
12,Edible Garden AG Inc,22-Mar-2023,31-Dec-2022,EDBL.OQ
13,Sadot Group Inc,21-Mar-2023,31-Dec-2022,SDOT.OQ
14,Benson Hill Inc,16-Mar-2023,31-Dec-2022,BHIL.N
15,AppHarvest Inc,15-Mar-2023,31-Dec-2022,APPHQ.PK^L23
16,Village Farms International Inc (Pre-Reincorporation),09-Mar-2023,31-Dec-2022,VFF.OQ
17,Andersons Inc,23-Feb-2023,31-Dec-2022,ANDE.OQ
18,SiteOne Landscape Supply Inc,23-Feb-2023,01-Jan-2023,SITE.N
19,Fresh Del Monte Produce Inc,22-Feb-2023,30-Dec-2022,FDP.N
20,Mission Produce Inc,22-Dec-2022,31-Oct-2022,AVO.OQ
21,Limoneira Co,22-Dec-2022,31-Oct-2022,LMNR.OQ
22,Alico Inc,13-Dec-2022,30-Sep-2022,ALCO.OQ
23,CHS Inc,02-Nov-2022,31-Aug-2022,CHSCP.OQ
24,S&W Seed Co,28-Sep-2022,30-Jun-2022,SANW.OQ
25,MJ Harvest Inc,23-Sep-2022,31-May-2022,MJHI.PK
26,CGS International Inc,15-Aug-2022,30-Apr-2022,CGSI.PK
27,Cal-Maine Foods Inc,19-Jul-2022,28-May-2022,CALM.OQ
28,Organic Agricultural Co Ltd,14-Jul-2022,31-Mar-2022,OGAA.PK
29,NaturalShrimp Inc,29-Jun-2022,31-Mar-2022,SHMP.PK
30,MJ Holdings Inc,21-Jun-2022,31-Dec-2021,MJNE.PK
31,Agrify Corp,31-Mar-2022,31-Dec-2021,AGFY.OQ
32,Sativus Tech Corp,31-Mar-2022,31-Dec-2021,SATT.PK
33,urban-gro Inc,29-Mar-2022,31-Dec-2021,UGRO.OQ
34,Vetanova Inc,29-Mar-2022,31-Dec-2021,VTNA.PK
35,Benson Hill Inc,28-Mar-2022,31-Dec-2021,BHIL.N
36,Genvor Inc,21-Mar-2022,30-Sep-2021,GNVR.PK
37,Sadot Group Inc,17-Mar-2022,31-Dec-2021,SDOT.OQ
38,Millennium Sustainable Ventures Corp,15-Mar-2022,31-Dec-2021,MILC.PK
39,Village Farms International Inc (Pre-Reincorporation),01-Mar-2022,31-Dec-2021,VFF.OQ
40,Andersons Inc,24-Feb-2022,31-Dec-2021,ANDE.OQ
41,SiteOne Landscape Supply Inc,24-Feb-2022,02-Jan-2022,SITE.N
42,Fresh Del Monte Produce Inc,23-Feb-2022,31-Dec-2021,FDP.N
43,Limoneira Co,10-Jan-2022,31-Oct-2021,LMNR.OQ
44,Mission Produce Inc,22-Dec-2021,31-Oct-2021,AVO.OQ
45,MCTC Holdings Inc,14-Dec-2021,31-Aug-2021,CBGL.PK
46,Alico Inc,07-Dec-2021,30-Sep-2021,ALCO.OQ
47,CHS Inc,04-Nov-2021,31-Aug-2021,CHSCP.OQ
48,Pingtan Marine Enterprise Ltd,13-Oct-2021,31-Dec-2020,PME.OQ^C23
49,S&W Seed Co,28-Sep-2021,30-Jun-2021,SANW.OQ
50,MJ Harvest Inc,13-Sep-2021,31-May-2021,MJHI.PK
51,CGS International Inc,04-Aug-2021,30-Apr-2021,CGSI.PK
52,CGS International Inc,03-Aug-2021,30-Apr-2020,CGSI.PK
53,Genvor Inc,02-Aug-2021,30-Sep-2020,GNVR.PK
54,Cal-Maine Foods Inc,19-Jul-2021,29-May-2021,CALM.OQ
55,NaturalShrimp Inc,29-Jun-2021,31-Mar-2021,SHMP.PK
56,Organic Agricultural Co Ltd,29-Jun-2021,31-Mar-2021,OGAA.PK
57,CGS International Inc,25-Jun-2021,30-Apr-2019,CGSI.PK
58,Sino Agro Food Inc,23-Jun-2021,31-Dec-2020,SIAF.PK^C23
59,MJ Holdings Inc,15-Apr-2021,31-Dec-2020,MJNE.PK
60,Agrify Corp,02-Apr-2021,31-Dec-2020,AGFY.OQ
61,urban-gro Inc,31-Mar-2021,31-Dec-2020,UGRO.OQ
62,Benson Hill Inc,31-Mar-2021,31-Dec-2020,BHIL.N
63,CAT9 Group Inc,30-Mar-2021,31-Dec-2020,CATN.PK
64,Vetanova Inc,26-Mar-2021,31-Dec-2020,VTNA.PK
65,Sativus Tech Corp,17-Mar-2021,31-Dec-2020,SATT.PK
66,Village Farms International Inc (Pre-Reincorporation),16-Mar-2021,31-Dec-2020,VFF.OQ
67,SiteOne Landscape Supply Inc,03-Mar-2021,03-Jan-2021,SITE.N
68,CGS International Inc,25-Feb-2021,30-Apr-2018,CGSI.PK
69,Andersons Inc,25-Feb-2021,31-Dec-2020,ANDE.OQ
70,Fresh Del Monte Produce Inc,24-Feb-2021,01-Jan-2021,FDP.N
71,Sino Agro Food Inc,10-Feb-2021,31-Dec-2019,SIAF.PK^C23
72,AppHarvest Inc,29-Jan-2021,31-Dec-2020,APPHQ.PK^L23
73,Mission Produce Inc,19-Jan-2021,31-Oct-2020,AVO.OQ
74,Limoneira Co,14-Jan-2021,31-Oct-2020,LMNR.OQ
75,Alico Inc,08-Dec-2020,30-Sep-2020,ALCO.OQ
76,CHS Inc,05-Nov-2020,31-Aug-2020,CHSCP.OQ
77,MJ Harvest Inc,14-Sep-2020,31-May-2020,MJHI.PK
78,Organic Agricultural Co Ltd,14-Aug-2020,31-Mar-2020,OGAA.PK
79,Cal-Maine Foods Inc,20-Jul-2020,30-May-2020,CALM.OQ
80,NaturalShrimp Inc,26-Jun-2020,31-Mar-2020,SHMP.PK
81,Sadot Group Inc,29-May-2020,31-Dec-2019,SDOT.OQ
82,urban-gro Inc,18-May-2020,31-Dec-2019,UGRO.OQ
83,Aifarm Ltd,14-May-2020,31-Dec-2019,AIFM.PK
84,CAT9 Group Inc,27-Apr-2020,31-Dec-2019,CATN.PK
85,Village Farms International Inc (Pre-Reincorporation),01-Apr-2020,31-Dec-2019,VFF.OQ
86,Pingtan Marine Enterprise Ltd,16-Mar-2020,31-Dec-2019,PME.OQ^C23
87,Andersons Inc,27-Feb-2020,31-Dec-2019,ANDE.OQ
88,SiteOne Landscape Supply Inc,26-Feb-2020,29-Dec-2019,SITE.N
89,Fresh Del Monte Produce Inc,20-Feb-2020,27-Dec-2019,FDP.N
90,Limoneira Co,14-Jan-2020,31-Oct-2019,LMNR.OQ
91,Alico Inc,05-Dec-2019,30-Sep-2019,ALCO.OQ
