,0,1,2,3,4
0,LW.N,29-May-2022,US,Food Processing (NEC),221110487
1,CAG.N,29-May-2022,US,Food Processing (NEC),221097438
2,LWAY.OQ,31-Dec-2021,US,Dairy Products,221095664
3,CALM.OQ,28-May-2022,US,Poultry Farming,221091652
4,WTER.OQ,31-Mar-2022,US,Bottled Water & Ice,221083549
5,OGAA.PK,31-Mar-2022,US,Grain (Crop) Production,221083204
6,SHMY.PK,31-Mar-2022,US,Food Ingredients,221082226
7,GIS.N,29-May-2022,US,Food Processing (NEC),221056058
8,SHMP.PK,31-Mar-2022,US,Aquaculture,221055380
9,FIZZ.OQ,30-Apr-2022,US,Non-Alcoholic Beverages (NEC),221054972
10,MJNE.PK,31-Dec-2021,US,Agriculture Support Services,221029186
11,BFb.N,30-Apr-2022,US,Distillers & Wineries (NEC),221023086
12,SJM.N,30-Apr-2022,US,Food Processing (NEC),221020782
13,ICNB.PK,31-Dec-2021,US,Distillers & Wineries (NEC),221017815
14,PYYX.PK,31-Mar-2022,US,Tobacco (NEC),221015421
15,DRFS.PK,31-Mar-2022,US,Food Processing (NEC),221011013
16,SENEA.OQ,31-Mar-2022,US,Frozen Food Manufacturing,221009038
17,RMCF.OQ,28-Feb-2022,US,Chocolate & Confectionery,22976723
18,MMMB.OQ,31-Jan-2022,US,Meat Processing,22975958
19,UVV.N,31-Mar-2022,US,Tobacco (NEC),22974233
20,—,31-Dec-2021,US,Special Foods & Wellbeing Products,22902529
21,GHMP.PK,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22847314
22,ZIVO.OQ,31-Dec-2021,US,Special Foods & Wellbeing Products,22845602
23,STZ.N,28-Feb-2022,US,Brewers (NEC),22840199
24,REED.OQ,31-Dec-2021,US,Carbonated Soft Drinks,22830602
25,VPRB.PK,31-Dec-2021,US,Tobacco (NEC),22830419
26,CIRX.PK,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22830374
27,TEOF.PK,31-Dec-2021,US,Frozen Food Manufacturing,22830341
28,ACBM.PK,31-Dec-2021,US,Special Foods & Wellbeing Products,22829950
29,AIXN.PK,31-Dec-2021,US,Health Food Stores,22829398
30,FIFG.PK,31-Dec-2021,US,Chocolate & Confectionery,22828247
31,HWTR.PK,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22826866
32,UOLI.PK,31-Dec-2021,US,Coffee & Tea,22826535
33,KGKG.PK,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22823465
34,CHUC.PK,31-Dec-2021,US,Tobacco (NEC),22822464
35,EWLU.PK,31-Dec-2021,US,Special Foods & Wellbeing Products,22820532
36,PACV.PK,31-Dec-2021,US,Food Processing (NEC),22819487
37,RLBD.PK,31-Dec-2021,US,Food Processing (NEC),22810741
38,BRBL.PK,31-Dec-2021,US,Brewers (NEC),22801010
39,TOFB.PK,01-Jan-2022,US,Frozen Food Manufacturing,22799011
40,PRPH.OQ,31-Dec-2021,US,Special Foods & Wellbeing Products,22794034
41,BDPT.PK,31-Dec-2021,US,Special Foods & Wellbeing Products,22794316
42,AGFY.OQ,31-Dec-2021,US,Agriculture Support Services,22794286
43,IVFH.PK,31-Dec-2021,US,Food Processing (NEC),22794030
44,SNAX.OQ,31-Dec-2021,US,Food Processing (NEC),22793608
45,VINE.A,31-Dec-2021,US,Wineries,22793229
46,SATT.PK,31-Dec-2021,US,Corporate Accounting Services,22792604
47,LIFD.PK,31-Dec-2021,US,Tobacco (NEC),22792537
48,SBEV.A,31-Dec-2021,US,Distillers & Wineries (NEC),22791645
49,AQPW.PK,31-Dec-2021,US,Bottled Water & Ice,22791639
50,PLAG.A,31-Dec-2021,US,Food Processing (NEC),22789235
51,AAGR.OQ,31-Dec-2021,KY,Shell Companies,22787872
52,RGF.OQ,31-Dec-2021,US,Frozen Food Manufacturing,22787745
53,WBEV.A,31-Dec-2021,US,Wineries,22787420
54,EAST.OQ,31-Dec-2021,US,Distilleries,22786741
55,KANP.PK,31-Dec-2021,US,Land Division & Subdivision,22784879
56,—,31-Dec-2021,US,Shell Companies,22783042
57,SOWG.PK,31-Dec-2021,US,Food Processing (NEC),22781797
58,WVVI.OQ,31-Dec-2021,US,Wineries,22780990
59,VTNA.PK,31-Dec-2021,US,Organic Farming,22779290
60,BTTR.A,31-Dec-2021,US,Pet Food Manufacturing,22777357
61,TLCC.PK,31-Dec-2021,US,Special Foods & Wellbeing Products,22776907
62,BHIL.N,31-Dec-2021,US,Agricultural Biotechnology,22773192
63,IPO-ALWI.PK,30-Sep-2021,US,Shell Companies,22755680
64,VYBE.PK,31-Dec-2021,US,Special Foods & Wellbeing Products,22752794
65,SDSYA.PK,31-Dec-2021,US,Food Processing (NEC),22750195
66,RIBT.OQ,31-Dec-2021,US,Food Processing (NEC),22748928
67,GRIL.OQ,31-Dec-2021,US,Restaurants & Bars (NEC),22746869
68,CELH.OQ,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22745783
69,TTCF.OQ,31-Dec-2021,US,Vegan & Vegetarian Food Manufacturing,22745647
70,BBXIA.PK,31-Dec-2021,US,Doors & Window Frames,22744536
71,—,31-Dec-2021,US,Coffee & Tea,22743222
72,SOVO.OQ,25-Dec-2021,US,Food Ingredients,22742134
