,0,1,2,3,4
0,—,31-Mar-2022,US,Grain (Crop) Production,24575718
1,VWE.OQ,30-Jun-2023,US,Wineries,231325642
2,NGTF.PK,30-Jun-2023,US,Frozen Food Manufacturing,231325189
3,SANW.OQ,30-Jun-2023,US,Grain (Crop) Production,231284869
4,NAPA.N,31-Jul-2023,US,Wineries,231284850
5,CSGN.PK^H09,30-Jun-2023,US,Food Processing (NEC),231279600
6,CPB.N,30-Jul-2023,US,Food Processing (NEC),231267736
7,ISPR.OQ,30-Jun-2023,US,Tobacco (NEC),231262452
8,MMNT.PK,31-May-2023,US,Distilleries,231256698
9,FARM.OQ,30-Jun-2023,US,Coffee & Tea,231250895
10,HAIN.OQ,30-Jun-2023,US,Food Ingredients,231202214
11,JBSS.OQ,29-Jun-2023,US,Chocolate & Confectionery,231198118
12,LANC.OQ,30-Jun-2023,US,Food Ingredients,231195170
13,WTER.OQ,31-Mar-2023,US,Bottled Water & Ice,231179527
14,DRFS.PK,31-Mar-2023,US,Food Processing (NEC),231177865
15,CALM.OQ,03-Jun-2023,US,Poultry Farming,231108708
16,LW.N,28-May-2023,US,Food Processing (NEC),231108021
17,ACBM.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,231101940
18,ASII.PK,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),231092891
19,CAG.N,28-May-2023,US,Food Processing (NEC),231087084
20,GIS.N,28-May-2023,US,Food Processing (NEC),231052182
21,SHMY.PK,31-Mar-2023,US,Food Ingredients,231049803
22,SHMP.PK,31-Mar-2023,US,Aquaculture,231043575
23,SJM.N,30-Apr-2023,US,Food Processing (NEC),231023553
24,BFb.N,30-Apr-2023,US,Distillers & Wineries (NEC),231020897
25,SENEA.OQ,31-Mar-2023,US,Frozen Food Manufacturing,231011361
26,PYYX.PK,31-Mar-2023,US,Tobacco (NEC),23994855
27,PACV.PK,31-Dec-2022,US,Food Processing (NEC),23985617
28,RMCF.OQ,28-Feb-2023,US,Chocolate & Confectionery,23976406
29,UVV.N,31-Mar-2023,US,Tobacco (NEC),23959885
30,REED.PK,31-Dec-2022,US,Carbonated Soft Drinks,23924589
31,TTCFQ.PK,31-Dec-2022,US,Vegan & Vegetarian Food Manufacturing,23924280
32,HPCO.OQ,31-Dec-2022,US,Cigars & Cigarette Manufacturing,23917764
33,MJNE.PK,31-Dec-2022,US,Agriculture Support Services,23893126
34,PNPL.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,23892273
35,BRBL.PK,31-Dec-2022,US,Brewers (NEC),23878442
36,AIXN.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,23869124
37,RLBD.PK,31-Dec-2022,US,Food Processing (NEC),23868240
38,MAMA.OQ,31-Jan-2023,US,Meat Processing,23849938
39,AQPW.PK,31-Dec-2022,US,Bottled Water & Ice,23825417
40,LOCL.N,31-Dec-2022,US,Organic Farming,23789142
41,ICNB.PK,31-Dec-2022,US,Distillers & Wineries (NEC),23787645
42,APRN.OQ^K23,31-Dec-2022,US,Food Processing (NEC),23737201
43,TPB.N,31-Dec-2022,US,Tobacco (NEC),23736107
44,BRCC.N,31-Dec-2022,US,Coffee & Tea,23735329
45,COCO.OQ,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23731736
46,ZIVO.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,23730862
47,CWGL.PK,31-Dec-2022,US,Wineries,23728016
48,FREE.OQ,31-Dec-2022,US,Food Processing (NEC),23725748
49,COKE.OQ,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23653379
50,INGR.N,31-Dec-2022,US,Food Processing (NEC),23647942
51,ADM.N,31-Dec-2022,US,Food Processing (NEC),23629189
52,PRPH.OQ,31-Dec-2020,US,Special Foods & Wellbeing Products,21794757
53,DFODQ.PK^F21,31-Dec-2019,US,Food Processing (NEC),20731078
54,REED.OQ,31-Dec-2019,US,Carbonated Soft Drinks,20723994
55,—,28-Dec-2019,CA,Bottled Water & Ice,20656917
56,ADM.N,31-Dec-2019,US,Food Processing (NEC),20625226
57,PM.N,31-Dec-2019,US,Tobacco (NEC),20584499
58,ALCO.OQ,30-Sep-2019,US,"Vegetable, Fruit & Nut Farming",191270828
59,CENT.OQ,28-Sep-2019,US,Pet Food Manufacturing,191252671
60,POST.N,30-Sep-2019,US,Breakfast Cereal Manufacturing,191239609
61,STZ.N,28-Feb-2019,US,Brewers (NEC),19761437
62,CHSCP.OQ,31-Aug-2018,US,Fishing & Farming (NEC),181212735
63,TSN.N,30-Sep-2017,US,Meat Processing,171193140
64,CHSCP.OQ,31-Aug-2017,US,Fishing & Farming (NEC),171191880
65,SMPL.OQ,26-Aug-2017,US,Special Foods & Wellbeing Products,171189904
66,PLAG.A,31-Dec-2016,US,Food Processing (NEC),171164633
67,AAGH.PK,30-Jun-2017,US,Special Foods & Wellbeing Products,171137236
68,CAG.N,28-May-2017,US,Food Processing (NEC),17976021
69,—,31-Dec-2016,US,Bottled Water & Ice,17966372
70,WTER.OQ,31-Mar-2017,US,Bottled Water & Ice,17965601
71,FIZZ.OQ,29-Apr-2017,US,Non-Alcoholic Beverages (NEC),17962933
72,SHMP.PK,31-Mar-2017,US,Aquaculture,17938616
73,GIS.N,28-May-2017,US,Food Processing (NEC),17936753
74,HAIN.OQ,30-Jun-2016,US,Food Ingredients,17924035
75,SJM.N,30-Apr-2017,US,Food Processing (NEC),17918619
76,BOBE.OQ^A18,28-Apr-2017,US,Food Processing (NEC),17912993
77,BFb.N,30-Apr-2017,US,Distillers & Wineries (NEC),17911996
78,ROX.A^J19,31-Mar-2017,US,Distillers & Wineries (NEC),17911578
79,PYYX.PK,31-Mar-2017,US,Tobacco (NEC),17911240
80,UVV.N,31-Mar-2017,US,Tobacco (NEC),17872519
81,SENEA.OQ,31-Mar-2017,US,Frozen Food Manufacturing,17870316
82,RMCF.OQ,28-Feb-2017,US,Chocolate & Confectionery,17864400
83,FBEC.PK,31-Dec-2016,US,Energy Drinks,17861488
84,EWLU.PK,31-Dec-2016,US,Special Foods & Wellbeing Products,17798249
85,CATN.PK,31-Dec-2016,US,Fishing & Farming (NEC),17797230
86,STZ.N,28-Feb-2017,US,Brewers (NEC),17786897
87,REED.OQ,31-Dec-2016,US,Carbonated Soft Drinks,17777781
88,VDKB.PK,31-Dec-2016,US,Distilleries,17767370
89,VPRB.PK,31-Dec-2016,US,Tobacco (NEC),17765424
90,FTLF.PK,31-Dec-2016,US,Special Foods & Wellbeing Products,17764968
91,MJTK.PK^D21,31-Dec-2016,US,Business Support Services (NEC),17764881
92,PLSB.PK^E21,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17764826
93,FVRG.PK^G21,31-Dec-2016,US,Food Processing (NEC),17761049
94,KRED.PK,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17760127
95,PACV.PK,31-Dec-2016,US,Food Processing (NEC),17757450
96,—,31-Dec-2016,US,Brewers (NEC),17755703
97,LWAY.OQ,31-Dec-2016,US,Dairy Products,17751427
98,SOWG.PK,31-Dec-2016,US,Food Processing (NEC),17746436
99,JCTG.PK^I22,31-Dec-2016,US,Distillers & Wineries (NEC),17744537
100,GLLA.PK^F21,31-Dec-2016,US,Cigars & Cigarette Manufacturing,17731508
101,TLCC.PK,31-Dec-2016,US,Special Foods & Wellbeing Products,17731025
102,TOFB.PK,31-Dec-2016,US,Frozen Food Manufacturing,17730967
103,CHUC.PK,31-Dec-2016,US,Tobacco (NEC),17730814
104,NBEVQ.PK,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17730689
105,EAST.OQ,31-Dec-2016,US,Distilleries,17730385
106,SNAK.OQ^L17,31-Dec-2016,US,Food Processing (NEC),17729778
107,ZIVO.OQ,31-Dec-2016,US,Special Foods & Wellbeing Products,17729296
108,KANP.PK,31-Dec-2016,US,Land Division & Subdivision,17728472
109,OPCO.PK^C19,31-Dec-2016,US,Pet Food Manufacturing,17727945
110,PARF.PK^L21,31-Dec-2016,US,Snack Food & Non-Chocolate Confectionary,17727946
111,AIFM.PK,31-Dec-2016,US,Agriculture Support Services,17727852
112,LBCC.PK^B21,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17727792
113,BRFH.OQ,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17725730
114,IVFH.PK,31-Dec-2016,US,Food Processing (NEC),17725646
115,CELH.OQ,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17725637
116,MJNE.PK,31-Dec-2016,US,Agriculture Support Services,17724315
117,—,31-Dec-2016,US,Food Processing (NEC),17721806
118,GLUC.PK,31-Dec-2016,US,Special Foods & Wellbeing Products,17720063
119,SBEV.A,31-Dec-2016,US,Distillers & Wineries (NEC),17719133
120,RELV.PK,31-Dec-2016,US,Special Foods & Wellbeing Products,17717869
121,FIFG.PK,31-Dec-2016,US,Chocolate & Confectionery,17716194
122,SNYR.PK,31-Dec-2016,US,Special Foods & Wellbeing Products,17713383
123,NTRU.PK,31-Dec-2016,US,Food Processing (NEC),17712822
124,MOJO.PK,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17711576
125,RIBT.OQ,31-Dec-2016,US,Food Processing (NEC),17710533
126,PME.OQ,31-Dec-2016,KY,Commercial Fishing,17709859
127,WVVI.OQ,31-Dec-2016,US,Wineries,17709789
128,JSDA.PK,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17709577
129,SDSYA.PK,31-Dec-2016,US,Food Processing (NEC),17705693
130,SDI.A^G20,31-Dec-2016,US,Cigars & Cigarette Manufacturing,17705627
131,SIAF.PK,31-Dec-2016,US,Fishing & Farming (NEC),17695558
132,BETR.N^A18,31-Dec-2016,US,Snack Food & Non-Chocolate Confectionary,17695392
133,MED.N,31-Dec-2016,US,Special Foods & Wellbeing Products,17695399
134,BREW.OQ^J20,31-Dec-2016,US,Craft & Micro Brewers,17695257
135,TVIAQ.PK^A18,31-Dec-2016,US,Food Processing (NEC),17694603
136,CWGL.PK,31-Dec-2016,US,Wineries,17691103
137,NNUTU.PK,31-Dec-2016,US,"Vegetable, Fruit & Nut Farming",17690926
138,COKE.OQ,01-Jan-2017,US,Non-Alcoholic Beverages (NEC),17688959
139,BIQIF.PK,31-Dec-2016,VG,Hog & Pig Farming,17688484
140,TWNK.OQ,31-Dec-2016,US,Bread & Bakery Product Manufacturing,17688445
141,FRPT.OQ,31-Dec-2016,US,Pet Food Manufacturing,17688129
142,NATR.OQ,31-Dec-2016,US,Special Foods & Wellbeing Products,17686819
143,MTEX.OQ,31-Dec-2016,US,Special Foods & Wellbeing Products,17686744
144,TPB.N,31-Dec-2016,US,Tobacco (NEC),17685547
145,USBFU.PK,31-Dec-2016,US,Meat Processing,17677564
146,XXII.OQ,31-Dec-2016,US,Tobacco (NEC),17675225
147,MGPI.OQ,31-Dec-2016,US,Distillers & Wineries (NEC),17673903
148,GGROU.PK,31-Dec-2016,US,Food Processing (NEC),17672035
149,SOY.TO,31-Dec-2016,CA,Vegan & Vegetarian Food Manufacturing,17658406
150,BGS.N,31-Dec-2016,US,Food Processing (NEC),17655757
151,USNA.N,31-Dec-2016,US,Special Foods & Wellbeing Products,17655438
152,—,31-Dec-2016,CA,Bottled Water & Ice,17655038
153,VGR.N,31-Dec-2016,US,Tobacco (NEC),17654495
154,MNST.OQ,31-Dec-2016,US,Energy Drinks,17654396
155,OME.N^L17,31-Dec-2016,US,Commercial Fishing,17654010
156,BUFF.OQ^D18,31-Dec-2016,US,Pet Food Manufacturing,17653984
157,ANDE.OQ,31-Dec-2016,US,Fishing & Farming Wholesale,17651626
158,BG.N,31-Dec-2016,BM,Food Processing (NEC),17647920
159,LNCE.OQ^C18,31-Dec-2016,US,"Cookie, Cracker & Pasta Manufacturing",17648014
160,IPHS.OQ^B20,31-Dec-2016,US,Food Ingredients,17649060
161,TR.N,31-Dec-2016,US,Chocolate & Confectionery,17640159
162,WWAV.K^D17,31-Dec-2016,US,Food Processing (NEC),17637692
163,—,31-Dec-2016,US,Special Foods & Wellbeing Products,17637182
164,MDLZ.OQ,31-Dec-2016,US,Food Processing (NEC),17635982
165,KO.N,31-Dec-2016,US,Non-Alcoholic Beverages (NEC),17635588
166,HLF.N,31-Dec-2016,KY,Special Foods & Wellbeing Products,17633066
167,MDLZ.OQ,31-Dec-2015,US,Food Processing (NEC),161440870
168,MJN^F17,31-Dec-2015,US,Baby Food,161432229
169,TAP.N,31-Dec-2015,US,Brewers (NEC),161411627
170,ALCO.OQ,30-Sep-2015,US,"Vegetable, Fruit & Nut Farming",151281614
171,CHSCP.OQ,31-Aug-2015,US,Fishing & Farming (NEC),151249006
172,K.N,03-Jan-2015,US,Food Processing (NEC),15649035
173,KO.N,31-Dec-2014,US,Non-Alcoholic Beverages (NEC),15647335
174,KDP.OQ,31-Dec-2014,US,Non-Alcoholic Beverages (NEC),15631504
175,GMCR.OQ^C16,27-Sep-2014,US,Coffee & Tea,141235482
176,TSN.N,27-Sep-2014,US,Meat Processing,141226390
177,—,31-Aug-2013,US,Special Foods & Wellbeing Products,131242637
178,CHSCP.OQ,31-Aug-2013,US,Fishing & Farming (NEC),131201810
179,HSH.N^H14,29-Jun-2013,US,Food Processing (NEC),131056236
180,SFD.N^I13,28-Apr-2013,US,Meat Processing,13919831
181,KDP.OQ,31-Dec-2012,US,Non-Alcoholic Beverages (NEC),13628283
182,VPRB.PK,31-Dec-2011,US,Tobacco (NEC),12720624
183,NUIN.PK^K18,31-Dec-2011,US,Fishing & Farming (NEC),12720254
184,NNUTU.PK^I22,31-Dec-2011,US,"Vegetable, Fruit & Nut Farming",12719850
185,CMFO.PK,31-Dec-2011,US,Seafood Product Preparation & Packaging,12718087
186,GHMP.PK,31-Dec-2011,US,Non-Alcoholic Beverages (NEC),12717583
187,WVVI.OQ,31-Dec-2011,US,Wineries,12717142
188,SNAK.OQ^L17,31-Dec-2011,US,Food Processing (NEC),12716883
189,MJTK.PK^D21,31-Dec-2011,US,Business Support Services (NEC),12714386
190,PARF.PK^L21,31-Dec-2011,US,Snack Food & Non-Chocolate Confectionary,12713749
191,REED.OQ,31-Dec-2011,US,Carbonated Soft Drinks,12713386
192,RELV.PK,31-Dec-2011,US,Special Foods & Wellbeing Products,12710804
193,PLSB.PK^E21,31-Dec-2011,US,Non-Alcoholic Beverages (NEC),12697817
194,COKE.OQ,01-Jan-2012,US,Non-Alcoholic Beverages (NEC),12697290
195,TVIAQ.PK^A18,31-Dec-2011,US,Food Processing (NEC),12694621
196,MED.N,31-Dec-2011,US,Special Foods & Wellbeing Products,12694450
197,DOLE.N^K13,31-Dec-2011,US,Fishing & Farming (NEC),12694247
198,BEAM.N^E14,31-Dec-2011,US,Distilleries,12649633
199,K.N,31-Dec-2011,US,Food Processing (NEC),12649228
200,BGS.N,31-Dec-2011,US,Food Processing (NEC),12648024
201,FDP.N,30-Dec-2011,KY,Fishing & Farming (NEC),12647590
202,SEB.A,31-Dec-2011,US,Food Processing (NEC),12647394
203,IFF.N,31-Dec-2011,US,Food Ingredients,12646527
204,DFODQ.PK^F21,31-Dec-2011,US,Food Processing (NEC),12643492
205,ANDE.OQ,31-Dec-2011,US,Fishing & Farming Wholesale,12643283
206,BG.N,31-Dec-2011,BM,Food Processing (NEC),12643031
207,PEP.OQ,31-Dec-2011,US,Carbonated Soft Drinks,12642643
208,CQB.N^A15,31-Dec-2011,US,Fishing & Farming (NEC),12641690
209,INGR.N,31-Dec-2011,US,Food Processing (NEC),12641529
210,MDLZ.OQ,31-Dec-2011,US,Food Processing (NEC),12640541
211,LNCE.OQ^C18,31-Dec-2011,US,"Cookie, Cracker & Pasta Manufacturing",12640146
212,VGR.N,31-Dec-2011,US,Tobacco (NEC),12639368
213,DNAX.PK,31-Dec-2010,US,Investment Management & Fund Operators (NEC),11727564
214,—,31-Dec-2010,KY,Food Processing (NEC),11726602
215,RAI.N^G17,31-Dec-2009,US,Tobacco (NEC),10618554
216,THS.N,31-Dec-2009,US,Food Processing (NEC),10602109
217,—,31-Dec-2009,US,Non-Alcoholic Beverages (NEC),10597659
218,—,31-Aug-2009,US,Fishing & Farming (NEC),091205211
219,TSN.N,27-Sep-2008,US,Meat Processing,081202613
220,SENEA.OQ,31-Mar-2008,US,Frozen Food Manufacturing,08900982
221,BOBE.OQ^A18,28-Apr-2006,US,Food Processing (NEC),06958711
222,DLM.N^C11,30-Apr-2006,US,Pet Food Manufacturing,06955002
223,TULY.OQ^I07,02-Apr-2006,US,Coffee & Tea,06940779
224,SFD.N^I13,30-Apr-2006,US,Meat Processing,06938744
225,SJM.N,30-Apr-2006,US,Food Processing (NEC),06936931
226,—,31-Mar-2006,US,Wineries,06935043
227,BFb.N,30-Apr-2006,US,Distillers & Wineries (NEC),06933486
228,—,31-Mar-2006,US,Distillers & Wineries (NEC),06924109
229,PYYX.PK,31-Mar-2006,US,Tobacco (NEC),06922621
230,HNZ.N^F13,03-May-2006,US,Food Processing (NEC),06915423
231,CAGAQ.PK^K12,01-Apr-2006,US,Meat Processing,06907100
232,UVV.N,31-Mar-2006,US,Tobacco (NEC),06904097
233,SENEA.OQ,31-Mar-2006,US,Frozen Food Manufacturing,06903237
234,—,04-Mar-2006,US,Ready-Made Meals,06882836
235,PORK.OQ^E07,25-Mar-2006,US,Meat Processing,06875642
236,UAPH.OQ^E08,26-Feb-2006,US,Agriculture Support Services,06832052
237,—,28-Feb-2006,US,Chocolate & Confectionery,06813219
238,STZ.N,28-Feb-2006,US,Brewers (NEC),06796763
239,RSAU.PK,31-Dec-2005,US,Distillers & Wineries (NEC),06763303
240,RLBD.PK,31-Dec-2005,US,Food Processing (NEC),06762606
241,DOLE.N^K13,31-Dec-2005,US,Fishing & Farming (NEC),06761791
242,—,31-Dec-2005,US,Commercial Fishing,06754279
243,—,31-Dec-2005,US,Commercial Fishing,06754261
244,TPB.N,31-Dec-2005,US,Tobacco (NEC),06731138
245,NATLP.PK^H04,31-Dec-2005,US,Tobacco (NEC),06730382
246,SDSYA.PK,31-Dec-2005,US,Food Processing (NEC),06729509
247,HOGS.OQ^F13,31-Dec-2005,US,Meat Processing,06729488
248,BREW.OQ^J20,31-Dec-2005,US,Craft & Micro Brewers,06729306
249,SDI.A^G20,31-Dec-2005,US,Cigars & Cigarette Manufacturing,06729061
250,PZA.A^L06,31-Dec-2005,US,Food Processing (NEC),06728306
251,ADY.N^F13,31-Dec-2005,US,Dairy Products,06728171
252,TBV.BE^H11,31-Dec-2005,US,Special Foods & Wellbeing Products,06727773
253,PMID.PK^D09,31-Dec-2005,US,Brewers (NEC),06727578
254,—,31-Dec-2005,US,Sugar & Artificial Sweeteners,06725013
255,—,31-Dec-2005,US,Sugar & Artificial Sweeteners,06725016
256,PSTA.OQ^L09,31-Dec-2005,US,Food Processing (NEC),06724727
257,VFPI.PK^E09,31-Dec-2005,US,Food Retail & Distribution (NEC),06724178
258,KANP.PK,31-Dec-2005,US,Land Division & Subdivision,06722945
259,NTOL.OQ^A08,31-Dec-2005,US,Special Foods & Wellbeing Products,06722029
260,SNAK.OQ^L17,31-Dec-2005,US,Food Processing (NEC),06720170
261,THS.N,31-Dec-2005,US,Food Processing (NEC),06717285
262,HORTQ.PK^D09,31-Dec-2005,US,Commercial Nurseries,06715560
263,—,31-Dec-2005,US,Dairy Products,06715539
264,AURFQ.OB^C04,25-Dec-2005,US,Food Processing (NEC),06710448
265,NDAC.PK^K14,25-Dec-2005,US,Food Processing (NEC),06706912
266,—,31-Dec-2005,US,Special Foods & Wellbeing Products,06705976
267,—,31-Dec-2005,US,Food Processing (NEC),06705975
268,—,31-Dec-2005,US,Food Processing (NEC),06699458
269,NNUTU.PK^I22,31-Dec-2005,US,"Vegetable, Fruit & Nut Farming",06696389
270,VGR.N,31-Dec-2005,US,Tobacco (NEC),06694032
271,DAR.N,31-Dec-2005,US,Food Processing (NEC),06692792
272,PEET.OQ^J12,01-Jan-2006,US,Coffee & Tea,06692258
273,MTEX.OQ,31-Dec-2005,US,Special Foods & Wellbeing Products,06691675
274,RELV.PK,31-Dec-2005,US,Special Foods & Wellbeing Products,06691118
275,COKE.OQ,01-Jan-2006,US,Non-Alcoholic Beverages (NEC),06690608
276,RDDC.PK^G19,31-Dec-2005,US,Bottled Water & Ice,06689794
277,SAM.N,31-Dec-2005,US,Brewers (NEC),06689254
278,MNST.OQ,31-Dec-2005,US,Energy Drinks,06689251
279,MED.N,31-Dec-2005,US,Special Foods & Wellbeing Products,06688643
280,—,14-Mar-2006,US,Commercial Nurseries,06686356
281,TR.N,31-Dec-2005,US,Chocolate & Confectionery,06685936
282,ANDE.OQ,31-Dec-2005,US,Fishing & Farming Wholesale,06685749
283,CEDCQ.PK^F13,31-Dec-2005,US,Distillers & Wineries (NEC),06685534
284,TSTY.OQ^E11,31-Dec-2005,US,Bread & Bakery Product Manufacturing,06685190
285,IFF.N,31-Dec-2005,US,Food Ingredients,06683037
