,0,1,2,3,4
0,ZVIA.N,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23723648
1,TR.N,31-Dec-2021,US,Chocolate & Confectionery,22694653
2,SAM.N,25-Dec-2021,US,Brewers (NEC),22658336
3,AVO.OQ,31-Oct-2021,US,"Vegetable, Fruit & Nut Farming",211513554
4,MDLZ.OQ,31-Dec-2020,US,Food Processing (NEC),21594448
5,SMPL.OQ,29-Aug-2020,US,Special Foods & Wellbeing Products,201268608
6,SENEA.OQ,31-Mar-2020,US,Frozen Food Manufacturing,201009572
7,UVV.N,31-Mar-2019,US,Tobacco (NEC),19852541
8,PACV.PK,31-Dec-2018,US,Food Processing (NEC),19744483
9,UTZ.N,31-Dec-2018,US,Snack Food & Non-Chocolate Confectionary,19710109
10,PACV.PK,31-Dec-2017,US,Food Processing (NEC),18727089
11,CWGL.PK,31-Dec-2017,US,Wineries,18690335
12,SOY.TO,30-Dec-2017,CA,Vegan & Vegetarian Food Manufacturing,18653108
13,GLPH.PK^I21,30-Nov-2016,US,Agricultural Biotechnology,17679493
14,MJN^F17,31-Dec-2016,US,Baby Food,17641390
15,THS.N,31-Dec-2016,US,Food Processing (NEC),17617897
16,LNCE.OQ^C18,02-Jan-2016,US,"Cookie, Cracker & Pasta Manufacturing",161473432
17,ADM.N,31-Dec-2015,US,Food Processing (NEC),161441490
18,NUZE.OQ,30-Sep-2015,US,Coffee & Tea,161341277
19,LNCE.OQ^C18,03-Jan-2015,US,"Cookie, Cracker & Pasta Manufacturing",15672273
20,PNRA.OQ^G17,30-Dec-2014,US,Bread & Bakery Product Manufacturing,15637122
21,NTRU.PK,31-Dec-2014,US,Food Processing (NEC),15584506
22,—,31-Jan-2014,US,Fishing & Farming Wholesale,14703378
23,BREW.OQ^J20,31-Dec-2013,US,Craft & Micro Brewers,14673399
24,LNCE.OQ^C18,28-Dec-2013,US,"Cookie, Cracker & Pasta Manufacturing",14640813
25,RIBT.OQ,31-Dec-2012,US,Food Processing (NEC),13731150
26,CWGL.PK,31-Dec-2012,US,Wineries,13723876
27,—,29-Dec-2012,US,Food Processing (NEC),13710483
28,SENEA.OQ,31-Mar-2012,US,Frozen Food Manufacturing,12898288
29,SMKY.PK^G15,31-Dec-2011,US,Meat Processing,12761051
30,—,31-Dec-2011,US,Fishing & Farming Wholesale,12752665
31,LANC.OQ,30-Jun-2011,US,Food Ingredients,111110089
32,CAG.N,29-May-2011,US,Food Processing (NEC),11975097
33,HNZ.N^F13,27-Apr-2011,US,Food Processing (NEC),11914270
34,HLF.N,31-Dec-2010,KY,Special Foods & Wellbeing Products,11628895
35,CVGW.OQ,31-Oct-2010,US,Fruit & Vegetable Processing,11528330
36,NUTR.O^H17,30-Sep-2010,US,Special Foods & Wellbeing Products,101211685
37,—,31-Dec-2009,US,Special Foods & Wellbeing Products,10706030
38,HQSM.PK^D12,31-Dec-2009,US,Commercial Fishing,10681790
39,CEDCQ.PK^F13,31-Dec-2009,US,Distillers & Wineries (NEC),10643109
40,DUKS.PK^J13,31-Dec-2008,US,Food Processing (NEC),09748603
41,CHUC.PK,31-Dec-2008,US,Tobacco (NEC),09719632
42,UOLI.PK,31-Dec-2008,US,Coffee & Tea,09712388
43,AIPC.P^H10,29-Sep-2006,US,"Cookie, Cracker & Pasta Manufacturing",08919965
44,UVV.N,31-Mar-2008,US,Tobacco (NEC),08870270
45,CNOA.PK^E13,31-Dec-2007,US,Fishing & Farming Wholesale,08725857
46,TPB.N,31-Dec-2006,US,Tobacco (NEC),07728917
47,SAM.N,30-Dec-2006,US,Brewers (NEC),07696295
48,TAP.N,31-Dec-2006,US,Brewers (NEC),07659963
49,SEB.A,31-Dec-2005,US,Food Processing (NEC),06668231
50,CVGW.OQ,31-Oct-2005,US,Fruit & Vegetable Processing,06570711
51,—,31-Aug-2005,US,Food Processing (NEC),051231296
52,SHDBQ.PK^C16,31-Jul-2004,US,Chocolate & Confectionery,041107507
53,JBSS.OQ,24-Jun-2004,US,Chocolate & Confectionery,041012988
54,CAGAQ.PK^K12,03-Apr-2004,US,Meat Processing,04880059
55,GXYF.OB^F09,31-Mar-2003,US,Food Processing (NEC),03787470
56,MNST.OQ,31-Dec-2002,US,Energy Drinks,03630958
57,ELAMF.PK,31-Dec-2002,US,Food Processing (NEC),03625039
58,PBG.N^C10,29-Dec-2001,US,Non-Alcoholic Beverages (NEC),02590528
59,SEB.A,31-Dec-2001,US,Food Processing (NEC),02573740
60,GMCR.OQ^C16,29-Sep-2001,US,Coffee & Tea,01822144
