,0,1,2,3,4
0,BRID.OQ,03-Nov-2023,US,Food Processing (NEC),24569813
1,MKC.N,30-Nov-2023,US,Food Processing (NEC),24562507
2,—,31-Mar-2021,US,Grain (Crop) Production,24552303
3,NUZE.OQ,30-Sep-2023,US,Coffee & Tea,24536163
4,GNVR.PK,30-Sep-2023,US,Grain (Crop) Production,24535797
5,—,31-Mar-2020,US,Grain (Crop) Production,24526475
6,AVO.OQ,31-Oct-2023,US,"Vegetable, Fruit & Nut Farming",231505600
7,LMNR.OQ,31-Oct-2023,US,Agriculture Support Services,231505426
8,ALCO.OQ,30-Sep-2023,US,"Vegetable, Fruit & Nut Farming",231470069
9,HRL.N,29-Oct-2023,US,Meat Processing,231468976
10,JJSF.OQ,30-Sep-2023,US,Snack Food & Non-Chocolate Confectionary,231447344
11,CENT.OQ,30-Sep-2023,US,Pet Food Manufacturing,231446842
12,AGFY.OQ,31-Dec-2022,US,Agriculture Support Services,231441896
13,BRBR.N,30-Sep-2023,US,Special Foods & Wellbeing Products,231426067
14,OGAA.PK,31-Mar-2023,US,Grain (Crop) Production,231420105
15,POST.N,30-Sep-2023,US,Breakfast Cereal Manufacturing,231417239
16,TSN.N,30-Sep-2023,US,Meat Processing,231395125
17,CHSCP.OQ,31-Aug-2023,US,Fishing & Farming (NEC),231387799
18,SMPL.OQ,26-Aug-2023,US,Special Foods & Wellbeing Products,231342214
19,AAGH.PK,30-Jun-2023,US,Special Foods & Wellbeing Products,231325668
20,BRID.OQ,03-Nov-2023,US,Food Processing (NEC),24569813
21,MKC.N,30-Nov-2023,US,Food Processing (NEC),24562507
22,—,31-Mar-2021,US,Grain (Crop) Production,24552303
23,NUZE.OQ,30-Sep-2023,US,Coffee & Tea,24536163
24,GNVR.PK,30-Sep-2023,US,Grain (Crop) Production,24535797
25,—,31-Mar-2020,US,Grain (Crop) Production,24526475
26,AVO.OQ,31-Oct-2023,US,"Vegetable, Fruit & Nut Farming",231505600
27,LMNR.OQ,31-Oct-2023,US,Agriculture Support Services,231505426
28,ALCO.OQ,30-Sep-2023,US,"Vegetable, Fruit & Nut Farming",231470069
29,HRL.N,29-Oct-2023,US,Meat Processing,231468976
30,JJSF.OQ,30-Sep-2023,US,Snack Food & Non-Chocolate Confectionary,231447344
31,CENT.OQ,30-Sep-2023,US,Pet Food Manufacturing,231446842
32,AGFY.OQ,31-Dec-2022,US,Agriculture Support Services,231441896
33,BRBR.N,30-Sep-2023,US,Special Foods & Wellbeing Products,231426067
34,OGAA.PK,31-Mar-2023,US,Grain (Crop) Production,231420105
35,POST.N,30-Sep-2023,US,Breakfast Cereal Manufacturing,231417239
36,TSN.N,30-Sep-2023,US,Meat Processing,231395125
37,CHSCP.OQ,31-Aug-2023,US,Fishing & Farming (NEC),231387799
38,SMPL.OQ,26-Aug-2023,US,Special Foods & Wellbeing Products,231342214
39,AAGH.PK,30-Jun-2023,US,Special Foods & Wellbeing Products,231325668
40,BRID.OQ,03-Nov-2023,US,Food Processing (NEC),24569813
41,MKC.N,30-Nov-2023,US,Food Processing (NEC),24562507
42,—,31-Mar-2021,US,Grain (Crop) Production,24552303
43,NUZE.OQ,30-Sep-2023,US,Coffee & Tea,24536163
44,GNVR.PK,30-Sep-2023,US,Grain (Crop) Production,24535797
45,—,31-Mar-2020,US,Grain (Crop) Production,24526475
46,AVO.OQ,31-Oct-2023,US,"Vegetable, Fruit & Nut Farming",231505600
47,LMNR.OQ,31-Oct-2023,US,Agriculture Support Services,231505426
48,ALCO.OQ,30-Sep-2023,US,"Vegetable, Fruit & Nut Farming",231470069
49,HRL.N,29-Oct-2023,US,Meat Processing,231468976
50,JJSF.OQ,30-Sep-2023,US,Snack Food & Non-Chocolate Confectionary,231447344
51,CENT.OQ,30-Sep-2023,US,Pet Food Manufacturing,231446842
52,AGFY.OQ,31-Dec-2022,US,Agriculture Support Services,231441896
53,BRBR.N,30-Sep-2023,US,Special Foods & Wellbeing Products,231426067
54,OGAA.PK,31-Mar-2023,US,Grain (Crop) Production,231420105
55,POST.N,30-Sep-2023,US,Breakfast Cereal Manufacturing,231417239
56,TSN.N,30-Sep-2023,US,Meat Processing,231395125
57,CHSCP.OQ,31-Aug-2023,US,Fishing & Farming (NEC),231387799
58,SMPL.OQ,26-Aug-2023,US,Special Foods & Wellbeing Products,231342214
59,STZ.N,28-Feb-2023,US,Brewers (NEC),23832040
60,CIRX.PK,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23825162
61,VYBE.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,23824920
62,TEOF.PK,31-Dec-2022,US,Frozen Food Manufacturing,23824827
63,BSFC.OQ,31-Dec-2022,US,Seafood Product Preparation & Packaging,23824706
64,FIFG.PK,31-Dec-2022,US,Chocolate & Confectionery,23824626
65,CHUC.PK,31-Dec-2022,US,Tobacco (NEC),23824396
66,AAGR.OQ,31-Dec-2022,KY,Organic Farming,23824211
67,SNAX.OQ,31-Dec-2022,US,Food Processing (NEC),23824162
68,HWTR.PK,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23822830
69,KUBR.PK,31-Dec-2022,US,Coffee & Tea,23822262
70,SOWG.PK,31-Dec-2022,US,Food Processing (NEC),23821268
71,VPRB.PK,31-Dec-2022,US,Tobacco (NEC),23818433
72,KANP.PK,31-Dec-2022,US,Fishing & Farming (NEC),23812318
73,MOJO.PK,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23788931
74,RGF.OQ,31-Dec-2022,US,Frozen Food Manufacturing,23788034
75,TOFB.PK,31-Dec-2022,US,Frozen Food Manufacturing,23787895
76,SBEV.A,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23787769
77,EAST.OQ,31-Dec-2022,US,Distilleries,23787729
78,VINE.A,31-Dec-2022,US,Wineries,23787369
79,BDPT.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,23787264
80,KGKG.PK,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23787050
81,TLCC.PK,31-Dec-2022,US,Special Foods & Wellbeing Products,23786995
82,PLAG.A,31-Dec-2022,US,Food Processing (NEC),23786771
83,IVFH.PK,31-Dec-2022,US,Food Processing (NEC),23786514
84,SATT.PK,31-Dec-2022,US,Fishing & Farming (NEC),23783346
85,HBIS.PK,31-Oct-2022,US,Food Processing (NEC),23781175
86,UGRO.OQ,31-Dec-2022,US,Agriculture Support Services,23780885
87,ECGR.PK,31-Dec-2022,US,Tobacco (NEC),23780640
88,SDSYA.PK,31-Dec-2022,US,Food Processing (NEC),23780591
89,JVA.OQ,31-Oct-2022,US,Coffee & Tea,23776101
90,PRPH.OQ,31-Dec-2022,US,Special Foods & Wellbeing Products,23775294
91,JSDA.PK,31-Dec-2022,US,Non-Alcoholic Beverages (NEC),23774813
92,WVVI.OQ,31-Dec-2022,US,Wineries,23769604
93,GNVR.PK,30-Sep-2022,US,Grain (Crop) Production,23768463
94,BTTR.A,31-Dec-2022,US,Pet Food Manufacturing,23766108
95,LWAY.OQ,31-Dec-2022,US,Dairy Products,23764700
96,FTLF.OQ,31-Dec-2022,US,Special Foods & Wellbeing Products,23760637
97,NBND.PK,31-Dec-2022,US,Food Processing (NEC),23754657
98,EDBL.OQ,31-Dec-2022,US,Organic Farming,23751487
99,LIFD.PK,31-Dec-2022,US,Tobacco (NEC),23750268
100,SDOT.OQ,31-Dec-2022,US,Fishing & Farming Wholesale,23749906
101,WEST.OQ,31-Dec-2022,US,Coffee & Tea,23749776
102,MTEX.OQ,31-Dec-2022,US,Special Foods & Wellbeing Products,23742208
