,0,1,2
0,0,2,1
1,0,3,1
2,0,3,18
3,0,4,1
4,0,5,1
5,0,5,2
6,0,5,4
7,0,6,1
8,0,6,2
9,0,8,12
10,0,9,1
11,0,9,2
12,0,9,13
13,0,9,20
14,1,0,11
15,1,0,17
16,1,0,19
17,1,1,1
18,1,1,4
19,1,2,1
20,1,3,1
21,1,3,12
22,1,4,1
23,1,5,1
24,1,5,2
25,1,6,1
26,1,6,2
27,1,7,7
28,1,8,2
29,1,9,1
30,1,9,2
31,1,9,18
32,1,9,19
33,2,0,11
34,2,2,1
35,2,3,1
36,2,4,1
37,2,5,1
38,2,5,2
39,2,6,1
40,2,6,2
41,2,9,1
42,2,9,2
43,3,2,1
44,3,3,1
45,3,4,1
46,3,5,1
47,3,6,1
48,3,7,1
49,3,8,1
50,3,9,1
