,0,1,2
0,1,2,1
1,1,3,1
2,1,4,1
3,1,5,1
4,1,5,2
5,1,6,1
6,1,6,2
7,1,9,1
8,1,9,2
9,2,0,13
10,2,2,1
11,2,3,1
12,2,4,1
13,2,5,1
14,2,5,2
15,2,5,11
16,2,6,1
17,2,6,2
18,2,9,1
19,2,9,2
20,2,9,16
21,2,9,19
22,3,1,3
23,3,1,16
24,3,2,1
25,3,2,5
26,3,2,6
27,3,2,11
28,3,3,1
29,3,3,2
30,3,3,4
31,3,3,7
32,3,4,1
33,3,4,9
34,3,4,18
35,3,5,1
36,3,5,2
37,3,5,4
38,3,6,1
39,3,6,2
40,3,9,1
41,3,9,2
42,4,0,11
43,4,1,6
44,4,2,1
45,4,3,1
46,4,4,1
47,4,5,1
48,4,5,2
49,4,6,1
50,4,6,2
51,4,9,1
52,4,9,2
53,4,9,15
54,4,9,16
55,4,9,17
56,4,9,18
57,4,9,20
58,5,0,13
59,5,9,1
60,5,9,2
61,6,2,1
62,6,3,1
63,6,4,1
64,6,5,1
65,6,5,2
66,6,6,1
67,6,6,2
68,6,6,3
69,6,6,8
70,6,6,14
71,6,7,7
72,6,7,12
73,6,9,1
74,6,9,2
75,7,2,1
76,7,3,1
77,7,4,1
78,7,4,17
79,7,5,1
80,7,5,2
81,7,5,14
82,7,5,16
83,7,6,1
84,7,6,2
85,7,6,8
86,7,7,11
87,7,8,6
88,7,8,8
89,7,9,1
90,7,9,2
91,8,2,1
92,8,3,1
93,8,4,1
94,8,5,1
95,8,5,2
96,8,6,1
97,8,6,2
98,8,9,1
99,8,9,2
100,8,9,9
101,8,9,16
102,9,0,2
103,9,0,18
104,9,2,1
105,9,2,3
106,9,3,1
107,9,4,1
108,9,4,20
109,9,5,1
110,9,5,2
111,9,6,1
112,9,6,2
113,9,9,1
114,9,9,2
115,9,9,15
116,10,2,1
117,10,3,1
118,10,4,1
119,10,5,1
120,10,5,2
121,10,6,1
122,10,6,2
123,11,2,1
124,11,3,1
125,11,4,1
126,11,5,1
127,11,5,2
128,11,6,1
129,11,6,2
130,11,9,1
131,11,9,2
132,12,0,5
133,12,0,18
134,12,2,1
135,12,3,1
136,12,3,13
137,12,4,1
138,12,5,1
139,12,5,2
140,12,6,1
141,12,6,2
142,12,9,1
143,12,9,2
144,13,2,1
145,13,2,17
146,13,3,1
147,13,4,1
148,13,5,1
149,13,5,2
150,13,6,1
151,13,6,2
152,13,8,5
153,13,8,8
154,13,8,9
155,13,9,1
156,13,9,2
157,13,9,18
158,14,2,1
159,14,3,1
160,14,4,1
161,14,5,1
162,14,5,2
163,14,6,1
164,14,6,2
165,14,9,1
166,14,9,2
167,15,2,1
168,15,2,17
169,15,3,1
170,15,4,1
171,15,5,1
172,15,5,2
173,15,5,18
174,15,6,1
175,15,6,2
176,15,9,1
177,15,9,2
178,16,2,1
179,16,3,1
180,16,4,1
181,16,5,1
182,16,5,2
183,16,6,1
184,16,6,2
185,16,9,1
186,16,9,2
187,17,6,1
188,17,6,2
189,17,7,1
190,17,7,2
191,17,8,1
192,17,8,2
193,17,9,1
194,17,9,2
195,19,5,1
196,19,5,2
197,19,6,1
198,19,6,2
199,19,7,1
200,19,7,2
201,19,8,1
202,19,8,2
203,19,9,1
204,19,9,2
205,20,2,1
206,20,3,1
207,20,4,1
208,20,5,1
209,20,5,2
210,20,6,1
211,20,6,2
212,20,9,1
213,20,9,2
214,21,2,1
215,21,3,1
216,21,4,1
217,21,4,6
218,21,5,1
219,21,5,2
220,21,6,1
221,21,6,2
222,21,8,1
223,21,8,2
224,21,9,1
225,21,9,2
