,0,1,2
0,1,2,1
1,1,3,1
2,1,4,1
3,1,5,1
4,1,5,15
5,1,6,1
6,1,6,2
7,1,6,13
8,1,9,1
9,2,2,1
10,2,3,1
11,2,4,1
12,2,5,1
13,2,5,2
14,2,6,1
15,2,6,2
16,2,9,1
17,3,2,1
18,3,3,1
19,3,4,1
20,3,5,1
21,3,5,2
22,3,5,11
23,3,6,1
24,3,6,2
25,3,9,1
26,4,1,16
27,4,2,1
28,4,2,6
29,4,3,1
30,4,4,1
31,4,4,9
32,4,4,18
33,4,5,1
34,4,5,2
35,4,6,1
36,4,6,2
37,4,9,1
38,5,0,11
39,5,2,1
40,5,3,1
41,5,4,1
42,5,5,1
43,5,5,2
44,5,6,1
45,5,6,2
46,5,9,1
47,6,2,1
48,6,3,1
49,6,4,1
50,6,5,1
51,6,5,2
52,6,5,19
53,6,5,20
54,6,6,1
55,6,6,2
56,6,9,1
57,7,2,1
58,7,3,1
59,7,4,1
60,7,5,1
61,7,5,2
62,7,6,1
63,7,6,2
64,7,9,1
65,8,2,1
66,8,3,1
67,8,4,1
68,8,4,17
69,8,5,1
70,8,5,2
71,8,6,1
72,8,6,2
73,8,7,11
74,8,9,1
75,9,2,1
76,9,3,1
77,9,4,1
78,9,5,1
79,9,5,2
80,9,6,1
81,9,6,2
82,9,9,1
83,10,0,2
84,10,2,1
85,10,3,1
86,10,4,1
87,10,4,20
88,10,5,1
89,10,5,2
90,10,6,1
91,10,6,2
92,10,9,1
93,11,2,1
94,11,3,1
95,11,4,1
96,11,5,1
97,11,5,2
98,11,6,1
99,11,6,2
100,11,9,1
101,12,1,15
102,12,2,1
103,12,3,1
104,12,4,1
105,12,5,1
106,12,5,2
107,12,6,1
108,12,6,2
109,12,9,1
110,13,2,1
111,13,3,1
112,13,3,13
113,13,4,1
114,13,5,1
115,13,5,2
116,13,6,1
117,13,6,2
118,13,9,1
119,14,2,1
120,14,2,17
121,14,3,1
122,14,4,1
123,14,5,1
124,14,5,2
125,14,6,1
126,14,6,2
127,14,9,1
128,15,2,1
129,15,3,1
130,15,4,1
131,15,5,1
132,15,5,2
133,15,6,1
134,15,6,2
135,15,9,1
136,16,2,1
137,16,3,1
138,16,4,1
139,16,5,1
140,16,5,2
141,16,6,1
142,16,6,2
143,16,9,1
144,17,2,1
145,17,3,1
146,17,4,1
147,17,5,1
148,17,5,2
149,17,6,1
150,17,6,2
151,17,9,1
152,18,2,1
153,18,3,1
154,18,4,1
155,18,5,1
156,18,5,2
157,18,6,1
158,18,6,2
159,18,6,10
160,18,9,1
161,18,9,2
162,19,2,1
163,19,3,1
164,19,4,1
165,19,5,1
166,19,5,2
167,19,6,1
168,19,6,2
169,19,9,1
170,19,9,2
171,20,2,1
172,20,2,13
173,20,2,15
174,20,2,16
175,20,2,17
176,20,2,18
177,20,2,19
178,20,2,20
179,20,3,1
180,20,3,2
181,20,3,4
182,20,3,6
183,20,3,8
184,20,4,1
185,20,5,1
186,20,5,2
187,20,6,1
188,20,6,2
189,20,9,1
190,20,9,2
191,21,2,1
192,21,3,1
193,21,4,1
194,21,5,1
195,21,5,2
196,21,6,1
197,21,6,2
198,21,9,1
