,0,1,2
0,1,1,1
1,1,2,1
2,1,3,1
3,1,4,1
4,1,6,15
5,1,7,1
6,1,7,2
7,1,8,1
8,1,9,1
9,2,1,1
10,2,2,1
11,2,3,1
12,2,4,1
13,2,7,1
14,2,7,2
15,2,8,1
16,2,9,1
17,3,1,1
18,3,2,1
19,3,3,1
20,3,4,1
21,3,5,13
22,3,7,1
23,3,7,2
24,3,8,1
25,3,9,1
26,4,1,1
27,4,1,18
28,4,2,1
29,4,3,1
30,4,4,1
31,4,4,11
32,4,4,20
33,4,7,1
34,4,7,2
35,4,8,1
36,4,9,1
37,5,0,11
38,5,1,1
39,5,2,1
40,5,3,1
41,5,4,1
42,5,7,1
43,5,7,2
44,5,8,1
45,5,9,1
46,6,1,1
47,6,2,1
48,6,3,1
49,6,4,1
50,6,7,1
51,6,7,2
52,6,8,1
53,6,9,1
54,7,1,1
55,7,2,1
56,7,3,1
57,7,4,1
58,7,7,1
59,7,7,2
60,7,8,1
61,7,9,1
62,8,1,1
63,8,2,1
64,8,3,1
65,8,4,1
66,8,4,19
67,8,7,1
68,8,7,2
69,8,7,17
70,8,8,1
71,8,9,1
72,9,1,1
73,9,2,1
74,9,3,1
75,9,4,1
76,9,7,1
77,9,7,2
78,9,8,1
79,9,9,1
80,10,0,2
81,10,1,1
82,10,2,1
83,10,3,1
84,10,4,1
85,10,5,2
86,10,7,1
87,10,7,2
88,10,8,1
89,10,9,1
90,11,1,1
91,11,2,1
92,11,3,1
93,11,4,1
94,11,7,1
95,11,7,2
96,11,8,1
97,11,9,1
98,12,1,1
99,12,2,1
100,12,3,1
101,12,4,1
102,12,7,1
103,12,7,2
104,12,8,1
105,12,9,1
106,13,1,1
107,13,2,1
108,13,3,1
109,13,3,15
110,13,4,1
111,13,7,1
112,13,7,2
113,13,8,1
114,13,9,1
115,14,1,1
116,14,2,1
117,14,2,19
118,14,3,1
119,14,4,1
120,14,7,1
121,14,7,2
122,14,8,1
123,14,9,1
124,15,1,1
125,15,2,1
126,15,3,1
127,15,4,1
128,15,7,1
129,15,7,2
130,15,8,1
131,15,9,1
132,16,1,1
133,16,2,1
134,16,3,1
135,16,4,1
136,16,7,1
137,16,7,2
138,16,8,1
139,16,9,1
140,17,1,1
141,17,2,1
142,17,3,1
143,17,4,1
144,17,7,1
145,17,7,2
146,17,8,1
147,17,9,1
148,18,1,1
149,18,2,1
150,18,3,1
151,18,4,1
152,18,7,1
153,18,7,2
154,18,8,1
155,18,9,1
156,19,1,1
157,19,2,1
158,19,3,1
159,19,4,1
160,19,7,1
161,19,7,2
162,19,8,1
163,19,9,1
164,20,1,1
165,20,2,1
166,20,3,1
167,20,4,1
168,20,7,1
169,20,7,2
170,20,8,1
171,20,9,1
172,21,1,1
173,21,2,1
174,21,3,1
175,21,4,1
176,21,7,1
177,21,7,2
178,21,8,1
179,21,9,1
