,company_name
0,urban-gro Inc
1,Andersons Inc
2,Fresh Del Monte Produce Inc
3,Pingtan Marine Enterprise Ltd
4,Hines Horticulture Inc
5,China Du Kang Co Ltd
8,MJ Holdings Inc
10,Gala Pharmaceutical Inc
11,AgFeed Industries Inc
12,Pilgrim's Pride Corporation of Georgia Inc
13,NaturalShrimp Inc
15,Standard Commercial Corp
16,Millennium Sustainable Ventures Corp
17,CannaSys Inc
18,Food Technology Service Inc
19,Nutrastar International Inc
21,Alico Inc
22,S&W Seed Co
23,Limoneira Co
24,Aifarm Ltd
25,Urban Barns Foods Inc
26,CHS Inc
27,Greenfield Farms Food Inc
28,American Patriot Brands Inc
30,Organic Agricultural Co Ltd
31,Sen Yu International Holdings Inc
32,Canal Capital Corp
33,Minn-Dak Farmers Cooperative
34,Cal-Maine Foods Inc
35,Agribrands International Inc
37,American Seafoods Group LLC
38,Steele Resources Corp
39,Hawaiian Macadamia Nut Orchards LP
42,Scotia Pacific Company LLC
46,Benson Hill Inc
50,Vegalab Inc
52,China Modern Agricultural Information Inc
54,Gpods Inc
55,Bionova Holding Corp
56,Sino Agro Food Inc
57,Southern China Livestock Inc
60,Sadot Group Inc
61,CAT9 Group Inc
62,China Fruits Corp
64,CGS International Inc
65,China Organic Agriculture Inc
67,Monarch America Inc
68,Fuer International Inc
72,Ecoscience Corp
73,China Liaoning Dingxu Ecological Agriculture Devel
75,Organic Alliance Inc
76,Earth Gen-Biofuel Inc
77,GUE Liquidation Group Inc
82,Chiquita Brands International Inc
89,American Hemp Ventures Inc
90,Ecogen Inc
91,BIQI International Holdings Corp
92,Parabel Inc
95,AppHarvest Inc
98,Westway Group Inc
100,SiteOne Landscape Supply Inc
103,Stevia Corp
108,Margo Caribe Inc
109,MCTC Holdings Inc
113,Dole Food Company Inc
116,Baying Ecological Holding Group Inc
117,UAP Holding Corp
121,MJ Harvest Inc
122,Sativus Tech Corp
126,Seminis Inc
127,Guar Global Ltd
134,Pro-Fac Cooperative Inc
135,Tanke Biosciences Corp
141,Versatech USA
157,Aja Cannafacturing Inc
159,PAHC Holdings Corp
160,Rainbow Coral Corp
163,Yasheng Group
165,Rongfu Aquaculture Inc
167,Northland Cranberries Inc
169,Vetanova Inc
183,Village Farms International Inc (Pre-Reincorporation)
184,OGL Holdings Ltd
197,Ceres Inc
202,Genvor Inc
208,Transglobal Assets Inc
210,China Continental Inc
223,CorGreen Technologies Holding Corp
236,Kush Inc
241,Toshoan Holdings Inc
242,Umami Sustainable Seafood Inc
272,North China Horticulture Inc
274,HQ Sustainable Maritime Industries Inc
284,Farm Lands of Africa Inc
287,Agrify Corp
294,Shandong Zhouyuan Seed and Nursery Co Ltd
296,Yuhe International Inc
322,Edible Garden AG Inc
325,Mission Produce Inc
341,Man Shing Agricultural Holdings Inc
361,China JXY Group Ltd
367,GSP-2 Inc
372,New Global Energy Inc
431,Stevia Nutra Corp
462,ASG Consolidated LLC
525,Local Bounti Corp
