,Code,Document_Date,Country,Industry,DCN
0,BRID.OQ,2023-11-03,US,Food Processing (NEC),24569813
1,MKC.N,2023-11-30,US,Food Processing (NEC),24562507
2,—,2021-03-31,US,Grain (Crop) Production,24552303
3,NUZE.OQ,2023-09-30,US,Coffee & Tea,24536163
4,GNVR.PK,2023-09-30,US,Grain (Crop) Production,24535797
5,—,2020-03-31,US,Grain (Crop) Production,24526475
6,AVO.OQ,2023-10-31,US,"Vegetable, Fruit & Nut Farming",231505600
7,LMNR.OQ,2023-10-31,US,Agriculture Support Services,231505426
8,ALCO.OQ,2023-09-30,US,"Vegetable, Fruit & Nut Farming",231470069
9,HRL.N,2023-10-29,US,Meat Processing,231468976
10,JJSF.OQ,2023-09-30,US,Snack Food & Non-Chocolate Confectionary,231447344
11,CENT.OQ,2023-09-30,US,Pet Food Manufacturing,231446842
12,AGFY.OQ,2022-12-31,US,Agriculture Support Services,231441896
13,BRBR.N,2023-09-30,US,Special Foods & Wellbeing Products,231426067
14,OGAA.PK,2023-03-31,US,Grain (Crop) Production,231420105
15,POST.N,2023-09-30,US,Breakfast Cereal Manufacturing,231417239
16,TSN.N,2023-09-30,US,Meat Processing,231395125
17,CHSCP.OQ,2023-08-31,US,Fishing & Farming (NEC),231387799
18,SMPL.OQ,2023-08-26,US,Special Foods & Wellbeing Products,231342214
19,AAGH.PK,2023-06-30,US,Special Foods & Wellbeing Products,231325668
59,STZ.N,2023-02-28,US,Brewers (NEC),23832040
60,CIRX.PK,2022-12-31,US,Non-Alcoholic Beverages (NEC),23825162
61,VYBE.PK,2022-12-31,US,Special Foods & Wellbeing Products,23824920
62,TEOF.PK,2022-12-31,US,Frozen Food Manufacturing,23824827
63,BSFC.OQ,2022-12-31,US,Seafood Product Preparation & Packaging,23824706
64,FIFG.PK,2022-12-31,US,Chocolate & Confectionery,23824626
65,CHUC.PK,2022-12-31,US,Tobacco (NEC),23824396
66,AAGR.OQ,2022-12-31,KY,Organic Farming,23824211
67,SNAX.OQ,2022-12-31,US,Food Processing (NEC),23824162
68,HWTR.PK,2022-12-31,US,Non-Alcoholic Beverages (NEC),23822830
69,KUBR.PK,2022-12-31,US,Coffee & Tea,23822262
70,SOWG.PK,2022-12-31,US,Food Processing (NEC),23821268
71,VPRB.PK,2022-12-31,US,Tobacco (NEC),23818433
72,KANP.PK,2022-12-31,US,Fishing & Farming (NEC),23812318
73,MOJO.PK,2022-12-31,US,Non-Alcoholic Beverages (NEC),23788931
74,RGF.OQ,2022-12-31,US,Frozen Food Manufacturing,23788034
75,TOFB.PK,2022-12-31,US,Frozen Food Manufacturing,23787895
76,SBEV.A,2022-12-31,US,Non-Alcoholic Beverages (NEC),23787769
77,EAST.OQ,2022-12-31,US,Distilleries,23787729
78,VINE.A,2022-12-31,US,Wineries,23787369
79,BDPT.PK,2022-12-31,US,Special Foods & Wellbeing Products,23787264
80,KGKG.PK,2022-12-31,US,Non-Alcoholic Beverages (NEC),23787050
81,TLCC.PK,2022-12-31,US,Special Foods & Wellbeing Products,23786995
82,PLAG.A,2022-12-31,US,Food Processing (NEC),23786771
83,IVFH.PK,2022-12-31,US,Food Processing (NEC),23786514
84,SATT.PK,2022-12-31,US,Fishing & Farming (NEC),23783346
85,HBIS.PK,2022-10-31,US,Food Processing (NEC),23781175
86,UGRO.OQ,2022-12-31,US,Agriculture Support Services,23780885
87,ECGR.PK,2022-12-31,US,Tobacco (NEC),23780640
88,SDSYA.PK,2022-12-31,US,Food Processing (NEC),23780591
89,JVA.OQ,2022-10-31,US,Coffee & Tea,23776101
90,PRPH.OQ,2022-12-31,US,Special Foods & Wellbeing Products,23775294
91,JSDA.PK,2022-12-31,US,Non-Alcoholic Beverages (NEC),23774813
92,WVVI.OQ,2022-12-31,US,Wineries,23769604
93,GNVR.PK,2022-09-30,US,Grain (Crop) Production,23768463
94,BTTR.A,2022-12-31,US,Pet Food Manufacturing,23766108
95,LWAY.OQ,2022-12-31,US,Dairy Products,23764700
96,FTLF.OQ,2022-12-31,US,Special Foods & Wellbeing Products,23760637
97,NBND.PK,2022-12-31,US,Food Processing (NEC),23754657
98,EDBL.OQ,2022-12-31,US,Organic Farming,23751487
99,LIFD.PK,2022-12-31,US,Tobacco (NEC),23750268
100,SDOT.OQ,2022-12-31,US,Fishing & Farming Wholesale,23749906
101,WEST.OQ,2022-12-31,US,Coffee & Tea,23749776
102,MTEX.OQ,2022-12-31,US,Special Foods & Wellbeing Products,23742208
103,BHIL.N,2022-12-31,US,Agricultural Biotechnology,23739336
104,RIBT.PK,2022-12-31,US,Food Processing (NEC),23739257
105,LSF.A,2022-12-31,US,Vegan & Vegetarian Food Manufacturing,23739040
106,NATR.OQ,2022-12-31,US,Special Foods & Wellbeing Products,23738174
107,BBXIA.PK,2022-12-31,US,Chocolate & Confectionery,23735887
108,VFF.OQ,2022-12-31,CA,"Vegetable, Fruit & Nut Farming",23719747
109,XXII.OQ,2022-12-31,US,Tobacco (NEC),23718090
110,SOVO.OQ,2022-12-31,US,Food Ingredients,23716767
111,GGROU.PK,2022-12-31,US,Food Processing (NEC),23715314
112,USBFU.PK,2022-12-31,US,Meat Processing,23702278
113,UTZ.N,2023-01-01,US,Snack Food & Non-Chocolate Confectionary,23699613
114,BRFH.OQ,2022-12-31,US,Non-Alcoholic Beverages (NEC),23699021
